Key,Id,Shared Comments,Korean(ko),English(en)
FOOD_005_NAME,8035,,그린 웜 스테이크,Green Worm Steak
FOOD_005_DESC,8036,,그린 웜 고기를 두껍게 썬 고급 스테이크. 모든 능력치가 상승한다.,A premium steak cut thick from green worm meat. Raises all stats.
RCP_001_NAME,8037,,슬라임 젤리 디저트 레시피,Slime Jelly Dessert Recipe
RCP_001_DESC,8038,,슬라임 젤리 2개를 틀에 굳혀 완성하는 기본 디저트.,A basic dessert. Set 2 slime jellies in a mold.
RCP_002_NAME,8039,,매콤 슬라임 볶음 레시피,Spicy Slime Stir-fry Recipe
RCP_002_DESC,8040,,불꽃 슬라임 코어 1개와 슬라임 젤리 1개를 볶는다.,Stir-fry 1 flame slime core with 1 slime jelly.
RCP_003_NAME,8041,,고블린 뼈 육수 레시피,Goblin Bone Broth Recipe
RCP_003_DESC,8042,,고블린 뼈 3개를 오래 끓여 육수를 낸다.,Simmer 3 goblin bones for a long time to extract rich broth.
RCP_004_NAME,8043,,버섯 갓 구이 레시피,Grilled Mushroom Cap Recipe
RCP_004_DESC,8044,,버섯인간 갓 2개를 팬에 굽는다.,Grill 2 mushroom caps in a pan.
RCP_005_NAME,8045,,그린 웜 스테이크 레시피,Green Worm Steak Recipe
RCP_005_DESC,8046,,그린 웜 고기 1개를 두껍게 썰어 굽는 고급 레시피.,A premium recipe. Cut 1 green worm meat thick and grill it.
UI_INTERACT,8047,,상호작용,Interact
UI_ENTER_DUNGEON,8048,,던전 입장,Enter Dungeon
UI_ENTER_KITCHEN,8049,,주방 입장,Enter Kitchen
UI_ENTER_RESTAURANT,8050,,식당 입장,Enter Restaurant
UI_TALK,8051,,대화,Talk
UI_PICK_UP,8052,,줍기,Pick Up
UI_OPEN,8053,,열기,Open
UI_COOKING_TITLE,8054,,조리대,Kitchen
UI_COOKING_SLOTS,8055,,재료 슬롯,Ingredient Slots
UI_COOKING_START,8056,,요리 시작,Start Cooking
UI_COOKING_SLOT_EMPTY,8057,,비어 있음,Empty
UI_COOKING_SELECT,8058,,재료를 선택하세요,Select ingredients
UI_COOKING_NO_MATCH,8059,,재료 조합이 맞지 않습니다,No matching recipe
UI_COOKING_RECIPE_PREFIX,8060,,레시피: ,Recipe:
UI_COOKING_NO_INGREDIENTS,8061,,재료가 없습니다.,No ingredients.
UI_INVENTORY,8062,,인벤토리,Inventory
UI_INGREDIENTS,8063,,재료,Ingredients
UI_FOOD,8064,,요리,Food
UI_CONFIRM,8065,,확인,Confirm
UI_START_EVENING,8066,,저녁 영업 시작,Start Evening
UI_SAVING,8067,,저장 중...,Saving...
MON_006_NAME,8068,,오크 졸병,Orc Grunt
MON_006_DESC,8069,,에버그린 숲 외곽을 배회하는 하급 오크. 무리지어 달려든다.,A low-rank orc roaming the outskirts of Evergreen Forest. Charges in packs.
MON_007_NAME,8070,,오크 전사,Orc Warrior
MON_007_DESC,8071,,단단한 가죽 갑옷을 두른 오크 전사. 묵직한 강타로 적을 밀쳐낸다.,An orc warrior clad in tough leather armor. Knocks enemies back with heavy blows.
MON_008_NAME,8072,,오크 광전사,Orc Berserker
MON_008_DESC,8073,,분노에 휩싸인 오크. 무섭게 돌진해 적을 덮친다.,A rage-filled orc. Charges ferociously to overwhelm its prey.
